id_r,cue,resp_1,resp_2,resp_3,incorrect,human_correction,issue
290144,vorhin,zuvor,WORD,Vergangenheit,vorgegangenes,vergangenes,
9489,Jude,WORD,Beschneidung,Drittes Reich,Bar Mizwa,Bar Mizwa,
385111,Bequemlichkeit,Ruhe,Gemütlichkeit,WORD,stressfrei,stressfrei,
152992,exklusiv,Gold,glitzern,WORD,illustation,Illustation,
46768,grundsätzlich,Politikerdeutsch,NA,WORD,sätzlich- bildlich,bildlich,
104416,Synthesizer,Elektronische Musik,WORD,Verzerrung (Ton),Kraftwerk (Band),Kraftwerk,
317561,Überzeugung,Translation,Google,WORD,Dolmentscher:in,Dolmetscher,
113802,Biochemie,Wissenschaft,WORD,NA,Chemic,chemic,
385846,Priester,Kirche,WORD,Kutte,Zöllibat,Zölibat,
349589,Vorlage,Papier,Bild,WORD,Anschaungsmaterial,Anschauungsmaterial,
181907,Versammlung,Meeting,WORD,Gruppe,Besprechemn,Besprechung,
37730,Maß,Zahl,Bier,WORD,Enfernung,Entfernung,
116083,Stil,Mode,Ästhetik,WORD,Frazu,Frau,
150123,reichen,genug sein,WORD,NA,reich sek,reich sein,
136418,Kroatien,Serbien,Belannte,WORD,Diese kleinen Dingsis (Chevapchichi),Cevapcici,
150072,Humanismus,WORD,John Locke,19.tes Jahrhundert,Transhumanisum,Transhumanismus,
341960,Kessel,Kessel Buntes,WORD,Suppe,Einkesselung Kursk,Einkesselung Kursk,
17423,Generation,WORD,Kinder,Oma,50+,50+,
17672,Vorteil,Nutzen,Nachteil,WORD,Eingenutz,Eigennutz,
367617,Zugehörigkeit,WORD,Heimat,Volk,Famile,Familie,
89556,Brettspiel,Schach,Dame,WORD,Mensch äerge dich nicht,Mensch ärgere dich nicht,
328280,weil,Da,WORD,Begründen,Grubd,Grund,
310206,Redaktion,WORD,NA,NA,rédaction,rédaction,
146045,Schuh,gehen,Schuhgeschäft,WORD,viele schumodelle,Schuhmodelle,
383465,Sahne,Süß,WORD,Weiß,cremig,cremig,
399788,Kampf,Sport,WORD,Instinkt,Verteitigung,Verteidigung,
67731,Zustimmung,Ja,Ablehnung,WORD,recth haben,recht haben,
291957,Mittagessen,Essen,WORD,Trinken,Z'mittag,Z'mittag,
354732,Gemeinsamkeit,Partnerschaft,WORD,Verbindlichkeit,Seelenverwandte,Seelenverwandte,
298165,Schätzchen,Schatz,WORD,Sweetheart,mäusschen,Mäuschen,
122304,Mainz,rheinisch gute Laune,Karneval,WORD,städte-rivalität,Städte-Rivalität,
355253,einführen,anfangen,WORD,Geschlechtsverkehr,erlautern,erläutern,
214482,vorbei,aus,WORD,fahren,schön war's,schön war's,
320320,zweiter,dritter,Podest,WORD,potenial,Potential,
316715,Antike,WORD,Summit,alt,antique Shop,Antique Shop,
249250,Henne,Ei,Hahn,WORD,Bauerhof,Bauernhof,
238766,Po,WORD,Italien,Backen,knackig,knackig,
102823,Justiz,Wahrheit,Waage,WORD,Gerechtigkeizt,Gerechhtigkeit,
149534,Gitarre,Spanien,Liedbegleitung,WORD,Juan Diego Florez,Juan Diego Florez,
398046,Kunde,König,WORD,Wunsch,ezahlt,bezahlt,
350333,Apotheke,Medizin,WORD,Warteschlange,Apotherker,Apotheker,
193718,Massage,rücken,haut,WORD,habd,Hand,
160829,akribisch,Korintenkakker,WORD,zu genau,Kleingiester,Kleingeister,
107401,winken,Ade,Mainzelmännchen,WORD,aufwiedersehen,auf Wiedersehen,
76782,Benennung,Wort,WORD,Sprache,Diagnostikverfahren,Diagnostikverfahren,
342634,wahnsinnig,intelligent,WORD,spannend,gutaussehend,gutaussehend,
75061,positionieren,Stellung nehmen,WORD,Entscheidung,Klarkeit,Klarheit,
321188,herausfinden,forschen,suchen,WORD,enträtseln,enträtseln,
373955,schlichten,streit,WORD,Arbeitskampf,komtrahenten,Kontrahenten,
10413,übernehmen,WORD,negativ,Überschätzung,zuviel,zu viel,
160235,Besonderheit,WORD,Egoismus,Individuum,herausstechen,herausstechen,
137340,Bankkaufmann,oje...BWL,Anzug,WORD,"langweilig, komisch,",langweilig ,
222166,aufgeben,WORD,NA,NA,gibts nicht,gibt's nicht ,
141462,Haut,Organ,WORD,Pflege,empfindlic,empfindlich,
342494,Strick,Galgen,Knoten,WORD,(Boots-)Führerschein,Bootsführerschein,
184165,Schwimmbad,WORD,Menschen,Sommer,chlorgeruch,Chlorgeruch,
224910,Kino,Film,Tarantino,WORD,Pulp fiction,Pulp fiction,
123700,Trompete,Laut,WORD,Posaune,trööt,trööt,
242285,Jugendliche,Pubertät,Slang,WORD,das Erwachsenwerden,das Erwachsenwerden,
374921,Umfrage,WORD,Auswertung,Signifikanz,studiepark,Studiepark,
195747,verwirklichen,Umsetzen,Traum,WORD,Plan /Idee,Plan,
21620,hierfür,dafür,wofür,WORD,wobie,wobei,
181517,gewiss,sicher,WORD,selbstsicher,betimmt,bestimmt,
244984,Balkon,Pflanzen,Gepn,WORD,"Grün (2.Wort), Geländer",Geländer,
157104,Schlagzeug,Musik,laut,WORD,rhitmus,Rhythmus,
281133,Sheriff,Stern,Mann,WORD,Law and Order,Law and Order,
351979,nochmal,Wiederholung,WORD,ein weiteres Mal,immerwieder,immer wieder,
25396,einigen,komprmisse,WORD,vertragen,debatieren,debattieren,
394139,Berührung,schön,WORD,gemeinsam,vertraur,vertrauen,
8785,haben,WORD,verlieren,habm,bestizen,besitzen,
32300,verschieden,anders,WORD,auffällig,herausstechend,herausstechend,
19831,Differenzierung,Unterscheidung,WORD,Teilung,Zweiseitigkeit,Zweiseitigkeit,
311532,fort,WORD,niewieder,trauer,wge,weg,
364501,DHL,WORD,Pakete,NA,ojeh,ohje,
16345,Partner,WORD,Ehe,Wohnen,Gatte/ Gattin,Gatte,
136419,Signal,Main screen,Turn on,WORD,All your Base are belong to US,All your base are belong to us,
183746,Seife,Waschen,Galle,WORD,wohlduftend,wohlduftend,
394010,Tabak,Rauchen,Lungenkrebs,WORD,Coffee and cigarettes,coffee and cigarettes,
121034,herrschen,WORD,Besitzen,Entscheiden,Diktaktur,Diktatur,
162988,Dill,Kräuter,Fisch,WORD,igitt,igitt,
307109,auswählen,priorisieren,WORD,entscheiden,auserkohren,auserkoren,
88946,stagnieren,Stillstand,WORD,Zwangspause,Unbeweglichkeit,Unbeweglichkeit,
143051,Benzol,WORD,Chemie,Gemisch,bezin,Benzin,
258906,ruhig,Person,WORD,lautlos,Chrakter,Charakter,
106650,Canapé,Sofa,WORD,Erholung,Brothappen,Brothappen,
291578,hilfsbereit,Menschen,Gute Eigenschaft,WORD,Spital/Pflegeberufe,Spital,
305106,Sonnenuntergang,orange,WORD,Abend,scshön,schön,
324018,Ausbeutung,Sklaven,WORD,ungerecht,Minderbezahlung,Minderbezahlung,
286657,Story,WORD,Instagram,Geschichte,long Story short,long story short,
351477,Winkel,WORD,Kringwinkel (Laden),Werkzeug,90°,90°,
208050,ablehnen,Schmerzen,WORD,Angst,Furstartion,Frustration,
150292,Prinz,Adel,Königshaus,WORD,männnlich,männlich,
70071,Hebel,WORD,Gewicht,Hebelwirkung,Terassentüre,Terrassentüre,
135868,Fenchel,Tee,WORD,Rezept,retept,Rezept,
158231,Harfe,Musikinstrument,WORD,nervig,Dr. Amy Farrah Fowler,Dr. Amy Farrah Fowler,
335667,WC,Toilette,Urinal,WORD,Scheißhaus,Scheißhaus,
32312,Titel,Thesen tempramente,Doktor,WORD,proffessor,Professor,
395642,schwach,WORD,trainieren,besser werden,Schüler*in,Schüler,
174810,Lärm,nervig,WORD,Fußball,Konzentrationsprobläme,Konzentrationsprobleme,
313237,fad,Suppe,WORD,Salz,langweillig,langweilig ,
305897,Glückwunsch,Gratulation,WORD,Erfolg,Gebirtstag,Geburtstag ,
258001,atmen,Lunge,Sauerstoff,WORD,Überlebenswichtig,überlebenswichtig,
276686,Atom,WORD,Neuron,Proton,big bang,Big Bang,
394720,Spinne,igittegitt,spinnen am Abend ist Quickend und labend.,WORD,Spinweb,Spinn­web,
176840,rufen,WORD,Hilfe,Hallo,Wüste (Rufer in der ...),Wüste ,
345480,damalig,Vergangenheit,WORD,Eltern,fruher,früher,
143075,weglaufen,davonrennen,türmen,WORD,fleihen,fliehen ,
50136,eng,breit,lang,WORD,ausgewält,ausgewählt,
134784,Bleistift,Radiergummi,WORD,schule,kugellschreiber,Kugelschreiber,
104730,Gauß,Mathematik,WORD,Magdeburg,Verteilkurven,Verteilkurven,
367709,Wellness,WORD,Hygge,Entspannung,Spahotel,Spa-Hotel,
282239,Sonnenbrille,WORD,Sommer,Optiker,Gorilla mit der Sonnenbrille (Kinderlied),Gorilla mit der Sonnenbrille,
395893,uneigentlich,WORD,NA,NA,gibt es das Wort eigenlich,gibt es das Wort eigentlich ,
182674,untereinander,stapel,oginization,WORD,hierchy,hierarchy,
4782,abhängig,Drogen,WORD,Rauschgift,crystal meth,crystal meth,
151496,Souvenir,Made in China,WORD,billig,unbrachbar,unbrauchbar,
314629,beinhalten,Kreis,WORD,fassen,angehoren,angehören ,
259005,Küste,Meer,WORD,Freiheit,Möbe,Möwe,
91897,Egoist,Neoliberalismus,Ayn Rand,WORD,Nutzensmaximierung,Nutzenmaximierung,
396099,zuhören,Aufmerksamkeit,WORD,Augenkontakt,Zugewandheit,Zugewandtheit,
122257,erblicken,entdecken,WORD,Moment,plötztlich,plötzlich,
157435,Schlittschuh,Spezialschuh mit Kufen um auf dem Eis zu fahren,Eishockey,WORD,Art on ICE,Art on Ice,
378497,Kalorien,Fettmacher,essen,WORD,Krankmacher,Krankmacher,
293844,Eiffelturm,Paris,WORD,hoch,Tourist*innen,Tourist ,
168805,Zepter,König,Kaiser,WORD,Zeremoniel,Zeremonie,
295,Martin,Name,WORD,Martinskirche,Heilige Sant Martin,Heilige Sankt Martin,
100819,meinungslos,WORD,egal,unbestimmt,stimmungsmachend,stimmungsmachend,
216620,Pech,Unglück,WORD,Hilfe,Frau Holle,Frau Holle ,
73377,Gin,Tonic,England,WORD,Coctail,Cocktail,
46371,Hälfte,hunger,WORD,fehlt was,5o %,50%,
94261,Lachs,WORD,Farbe,geräuchert,Meinl am Graben,Julius Meinl am Graben,
230183,Erdbeben,Richterskala,WORD,Tsunami,rauslaufen,rauslaufen,
392797,erzielen,erreichen,bewirken,WORD,hinstreben,hinstreben,
114185,Salpetersäure,WORD,Essigsäure,Salz,Salezyt,Salezyt,
203367,Ohren,WORD,hören,verstopft,η΄ρεν,η΄ρεν,
189213,verletzen,grob,Pflaster,WORD,leidtun,leid tun ,
70741,populär,WORD,prominent,begehrt,berhmt,berühmt ,
97090,Ingwer,WORD,NA,NA,Gewür,Gewürz ,
343666,bearbeiten,lösen,WORD,NA,werwalten,verwalten ,
49756,Bedeutung,Sinn,WORD,Wichtig,Persönlickeit,Persönlichkeit,
19745,Liste,WORD,Ausschluss,Excel,To do,To-do Liste ,
291403,verhandeln,zwei Personen,in der Mitte treffen,WORD,win win,Win-win ,
255904,Kriminalität,Polizei,WORD,Waffe,Gefängniss,Gefängnis,
3298,kulturell,WORD,gebildet,tolerant,intelektuell,intellektuell,
316976,Finanzierung,WORD,Asset Management,Bank,gelf,Geld ,
120560,Anlaufstelle,Information,WORD,Beratung,Servicepoint,Service point,
340980,diesmal,WORD,einzig,zeit,jenesmal,jenesmal,
42877,Technik,Modern,WORD,kompliziert,Lifestile,Lifestyle,
149161,wild,Natur,unbeherrscht,WORD,unzähmbar,unzähmbar,
14582,England,WORD,London,Land,Großbritanien,Großbritannien,
313870,Spucke,Geiffer,WORD,NA,Speutz,Speutz,
28015,öffentlich,WORD,NA,NA,keine antort,keine Antwort ,
178246,Balance,Brett,WORD,leben,wii fit,Wii Fit,
182194,zufrieden,Wohlbefinden,glücklich,WORD,unzfrieden,unzufrieden,
303834,eröffnen,Bankkonto,WORD,Geschäft,feierliclh,feierlich,
198816,prima,WORD,primstens,gut,supi,super,
291317,insbesondere,WORD,speziell,herausstreichen,vorallem,vor allem ,
358610,Episode,Serien,StarTrek,WORD,Bezahlkanal,Bezahlkanal,
364887,laufend,fortwährend,ständig,WORD,stegend,steigend ,
365782,Kurs,Training,lernen,WORD,Richtung (auf Kurs sein),Richtung ,
312260,Roboter,Künstliche Intelligenz,WORD,Metall,Homo Oeconomicus,Homo oeconomicus,
218477,zusammenleben,Stress,Platzmangel,WORD,Zweisamkeit,Zweisamkeit,
349319,Effizienz,Deutsch,Zeit,WORD,To do Liste,To-do Liste ,
378290,Sale,Marketing,Profit,WORD,neukundenaquise,Neukundenakquise,
200847,intim,Sex,privat,WORD,kuschelig,kuschelig,
320996,sieden,erhitzen,kochen,WORD,blubbern,blubbern ,
114112,Kopfsache,WORD,Kraft,Zigaretten,Emition,Emotion ,
76222,Unterbrechung,pause,WORD,elektrisch,ddazwischen,dazwischen ,
42576,London,Big Ben,WORD,England,Tower bridge,Tower Bridge ,
373309,vergrößern,WORD,Minimalismus,Massentierhaltung,reinzoomen,reinzoomen,
182014,schenken,gerne,Freude,WORD,reziprozitAt,Reziprozität,
89799,Hobby,Freizeit,WORD,Leidenschaft,diletantisch,dilettantisch,
278906,Grafik,Bild,WORD,bunt,verpixelt,verpixelt,
176968,Oper,WORD,Saal,vornehme Leute,"Sänger,in",Sänger ,
288162,brauchbar,nützlich,WORD,sinnvoll,useful,useful ,
284300,Verräter,WORD,Vertrauensbruch,Straftat,anschwärzer,Anschwärzer,
184597,Teller,gabel,WORD,zerspringen,wascchen,waschen ,
129228,wandern,Berge,WORD,Natur,hitchhikers,hitchhikers,
295483,Show,WORD,Unterhaltung,NA,entertaiment,Entertainment,
71419,Einschränkungen,WORD,Verbot,Eingeengt,Beschrenkungen,Beschränkungen,
385395,Zeug,WORD,Kruscht,Stoff,am Zeuf flicken,am Zeug flicken,
261188,Fakt,Fiktion,News,WORD,checking,fact-checking,
183778,Restaurant,Essen,GENIESSEN,WORD,Hungwr,Hunger ,
153109,beschlossen,Entscheidung,Gesetze,WORD,hichzeit,Hochzeit ,
149051,möchten,wünschen,wollen,WORD,gerne habne,gerne haben ,
99287,Feuilleton,alle Welt,Zeitung,WORD,intresannt,interessant ,
313901,herausfinden,lösen,herausbekommen,WORD,checken,checken ,
396663,Spinne,WORD,Glas,Raus,Igitt,igitt,
325007,auffällig,GROSS,Augen,WORD,bizar,bizarr,
139259,etablieren,WORD,festhalten,strukturieren,Borgousie,Bourgeoisie,
268729,stinken,WORD,unangenehm,Fliegen,Heruch,Geruch ,
129694,Flügel,Vogel,Engel,WORD,fligen,fliegen ,
38212,vermeiden,umgehen,sich drücken,WORD,pienzen,pienzen,
265800,Datum,WORD,NA,NA,xx/dd/mm,xx/dd/mm,
66386,Analyse,Ehepartner,WORD,Essen,Mathematik/Statistik,Mathematik ,
183770,wahrscheinlich,Eventuell,WORD,vielleicht,Gegebebenfalls,gegebenenfalls,
261312,Stabilität,mental,WORD,Stabilisierung (Politik),Haltbarsein,haltbar sein ,
389461,lächeln,fröhlich,WORD,freundlich,zugewabdt,zugewandt,
245094,lieben,WORD,rot,vertrauen,hezr,Herz ,
131299,unbedacht,dumm,WORD,unbermerkt,unüberlegen,unüberlegt,
374513,Hypothese,Mathematik,WORD,Fremdwort,philosofie,Philosophie,
316171,ungleich,divers,WORD,NA,difernzierung,Differenzierung,
296505,Deutschunterricht,Lehrer,Schreiben,WORD,Unnätig,unnötig ,
185671,Flamme,WORD,heiß,Gefahr,Fruer,Feuer,
374153,leider,WORD,NA,NA,bedeauerlicherweise,bedauerlicherweise,
44774,Vordergrund,präsent,WORD,vorne,auffalend,auffallend,
186023,Pech,WORD,Unglück,Niete,Bitumenart,Bitumenart,
147389,exklusiv,WORD,außerhalb,teuer,inklusiv,inklusive,
382091,leidenschaftlich,genüsslich,liebevoll,WORD,beigeisterz,begeistert,
33615,Republik,Weimar,Frankreich,WORD,One Republic,OneRepublic,
282452,Braunschweig,WORD,Geographie,Kohle,greislig,greislich,
72321,Floskel,WORD,Redewedung,unüberlegt,dahergesagt,dahergesagt,
360695,hinzu,zufügen,hineilen,WORD,dreingebeb,dreingeben,
85071,Angeber,Junge,Darstellung,WORD,stolzieren,stolzieren,
6448,suchen,finden,WORD,nachschlagen,nachgucken,nachgucken,
109921,Anschaulichkeit,Schönheit,WORD,NA,gut getaltet,gut gekleidet ,
266542,Berufstätigkeit,Job,WORD,Beruf,Abeit,Arbeit,
180052,halt,Verkehr,WORD,Familie,Waldenburgerli,Waldenburgerli,
201782,egal,gleichgültig,gleich,WORD,wurscht,wurscht,
348326,Bekleidung,Mantel,WORD,warm,azug,Anzug ,
325765,aber,WORD,warum,ja,waruja,warum ,
256092,regieren,Macht,herrschen,WORD,bedrücktheit,Bedrücktheit,
341002,hierher,dorthin,kommen,WORD,ranrufen,ranrufen,
57010,Konflikt,WORD,Konfliktherd,Mediation,konfliktscheu,konfliktscheu,
53363,Göttingen,Universität,Gänse,WORD,Rita Süssmuth,Rita Süssmuth,
356551,beherrschen,Fähigkeit,WORD,Beruf,Kunsr,Kunst ,
29790,Mehrheit,WORD,Demokratie,beruhigend,"viele, Demokratie, beruhigend",viel ,
186259,spitz,WORD,Humor,Leistung,Bleihstift,Bleistift ,
271153,Armee,WORD,Militär,SVP,Milit,Militär ,
116135,Tiger,Käfig,WORD,Indien,"Puh, der Bär",Pu der Bär,
265733,Freunde,WORD,Freude,zusammen,gemisnschaft,Gemeinschsaft ,
298584,kapieren,verstehen,WORD,NA,checken,checken ,
131868,Hase,Kaninchen,WORD,Ostern,schokohasen,Schokohasen,
354503,verfaulen,WORD,schimmeln,vergammeln,verranzen,verranzt ,
303960,insbesondere,WORD,NA,NA,vorallem,vor allem ,
291362,grüßen,WORD,freundlich,Begegnung,Halli-hallo,Hallihallo,
45297,Kontext,WORD,historisch,reißen,drumrum,drumrum,
218009,jetzt,klinge,WORD,stehe auf,fanren,fahren ,
270788,monoton,WORD,geradlinig,Wiederholung,unemotional,unemotional,
322645,pingelig,Bünzlischisser,WORD,verklemmt,Kleinkarriert,kleinkariert,
200684,launisch,gefühlsbetont,wechselhaft,WORD,aufbrausend,aufbrausend,
237898,Strich,Linie,WORD,Lineal,Rotlichtmillieu,Rotlichtmilieu,
160195,genial,super,WORD,nebelhaft,fabulös,fabulös,
320945,Schlamm,Morast,WORD,Schlacht,open air,Open-Air,
59791,Ausmaß,Höhe,WORD,Länge,Meterangabe,Meterangabe,
198095,CDU,SPD,WORD,Politikverdrossenheit,Chrisltich,christlich,
217124,Dasein,oder nicht sein,WORD,et respice finem,Existentialisten,Existentialisten,
362145,Güte,Eltern,Pfarrer,WORD,werthaltigkeit,Werthaltigkeit,
19329,Wohnung,Hasu,WORD,Geborgenheit,Dach überm Kopf,Dach überm Kopf,
40960,weiter,WORD,vorwärts,Leiter,go on,go on,
148027,Geschwister,meine Geschwister,WORD,Unklarheit,Erstgeborene,Erstgeborene,
335718,Rache,ist süß,Unwort,WORD,rrligiöse Erzählung,religiöse Erzählung,
127222,Linsen,groß,mehlig,WORD,schmacklos,geschmacklos ,
245075,Zauberer,Oz,WORD,Magie,Harry potter,Harry Potter,
380851,Aprilscherz,lustig,verarschen,WORD,reinlegen,reinlegen,
21506,Beratung,Hilfe,Betrug,WORD,Verständniss,Verständnis,
277852,Vortrag,WORD,Redner,Präsentation,nervos,nervös,
69460,Schau,Tierschau,Mode,WORD,Schaufensterbummel,Schaufensterbummel,
151408,destruktiv,konstruktiv,WORD,schöne Plakate,Destruktivismus,Destruktivismus,
130097,Floß,Wasser,Baumstämme,WORD,Konsturkt,Konstrukt,
355292,krass,WORD,NA,NA,bemerkenswer,bemerkenswert ,
199117,Wärme,weich,WORD,Frau,kuschelig,kuschelig,
190011,Queen,Rockmusik,WORD,Band,Freddie Mercury,Freddie Mercury,
357054,Ruf,Telefon,WORD,guter,gesellschaft(lich),Gesellschaft ,
267576,Freizeit,WORD,Spaß,Freiheit,Hobbies,Hobbys,
19814,Situation,WORD,Unfall,gespannt,Gefahrt,Gefahr,
70546,Schere,WORD,spitz,schneiden,Schwarf,scharf,
26190,Bitte,Entschuldigung,Armut,WORD,por favor,por favor,
288218,Beleidigung,frech,WORD,frustriert,vertletzt,verletzt ,
145183,Aussicht,Blick,Weite,WORD,Ubersicht,Übersicht,
807,Gestalt,Schatten,WORD,NA,Shilouette,Silhouette,
88078,Laufsteg,Modell,WORD,lsng,Heidi klum,Heidi Klum,
84683,Kaufmann,WORD,Geld,Mann,"Laden, Waren.Gewinn",Laden,
357688,flüchten,abhauen,weggehen,WORD,verzeiehen,verzeihen,
81015,Entschluss,Sicherheit,Entscheidung,WORD,Gesezt,Gesetz ,
306619,Dortmund,WORD,Stadt,Düsseldorf,Nordrhein-westfalen,Nordrhein-Westfalen,
307169,unheimlich,WORD,NA,NA,Gespengst,Gespenst,
44753,Faktor,Null,Mathe,WORD,Durschnittsfaktor,Durchschnittsfaktor,
308423,Römer,WORD,Straßen,Krieg,Eutrophikation,Eutrophierung,
146566,froh,Frühling,WORD,gut gelaunt,frohmütig,frohmütig,
259564,erlernen,WORD,Schule,Gedächtnis,Bildund,Bildung ,
366011,Stadtteil,WORD,essen,viertel,bottorp,Bottrop,
28894,bestätigt,Brief,Taste,WORD,Komunikation,Kommunikation,
65519,kulturell,WORD,Theater,Feuilleton,intelektuell,intellektuell,
108296,reagieren,impulsiv,antworten,WORD,dranbleiben,dranbleiben,
384149,Keller,WORD,Speisekammer,Bastelraum,Aufbewahrungs Ort,Aufbewahrungsort,
141954,Selbstaufgabe,WORD,Suizid,Hoffnungslosigkeit,Auswegslosigkeit,Ausweglosigkeit,
326823,abschneiden,beendigen,WORD,Wettbewerb,kleinermachen,kleiner machen,
374021,wütend,böse,rasend,WORD,aufbrausend,aufbrausend,
364737,Kittel,WORD,Labor,Apotheke,arzt/ärztin,Arzt,
391776,Präsident,Trump,WORD,kamela,white house,White House ,
376531,überflüssig,WORD,Pfunde,teure Klamotten Design,Zuviel Angebote,zu viele Angebote ,
1875,Verlust,Trauer,Schmerz,WORD,Rekapitulation,Rekapitulation,
174728,Vergehen,WORD,Pflanzen,Liebe,Krininell,kriminell,
261559,Verkauf,WORD,schwierig,zermürbend,an den Mann/Frau bringen,an den Mann bringen ,
255646,Schock,WORD,Spannung,gefährlich,Elktroschock,Elektroschock,
166490,Sweatshirt,WORD,Pullover,Anziehsachen,Tshirt,T-Shirt ,
115464,Sachverhalt,WORD,nichtssagende Floskel,überbewertet,Situationsbeschreibung,Situationsbeschreibung,
136530,liefern,Amazon,WORD,Deadline,dhl,DHL,
219534,Enkelkinder,WORD,NA,NA,kleinkinderen - Übersetzung ins NL,Kleinkind,
169888,Pult,Stuhl,WORD,Tisch,hellbraun,hellbraun,
173662,Kompromiss,WORD,Vereinbarung,Basisdemokratie,durchlavieren,durchlavieren,
165089,Karren,Auto,alt,WORD,abgeranzt,abgeranzt,
77991,Kombizange,Werkzeug,Heimwerker,WORD,Wasserinstalation,Wasserinstallation,
112341,Füller,Pelikan,WORD,Geha,Bodenständig 2000 (Band),Bodenständig 2000,
57210,betonen,wichtig,Musik,WORD,ausdruckstark,ausdrucksstark,
133861,gefährlich,WORD,dunkel,Waffe,Angsi,Angst ,
357218,belästigen,WORD,unanenehm,Männer,molestieren,molestieren,
384857,rollen,kugel,WORD,NA,skate board,Skateboard,
244231,umarmen,drücken,WORD,Freundschaft,liebhaben,lieb haben ,
93198,Fingerabdruck,Tatort,WORD,Beweis,iphone,iPhone ,
275223,Neugier,WORD,Abenteuerlust,Entdecken,fasszination,Faszination,
345288,irgendwann,Nena,WORD,NA,Planlosigkeit,Planlosigkeit,
140725,Hammer,Sichel,Symbol,WORD,Werkzeig,Werkzeug,
203293,trotz,WORD,NA,NA,Nichtdestotrotz,nichtsdestotrotz,
28499,Anlage,WORD,Erbgut,Veranlagung,Stereoanalage,Stereoanlage,
156677,schminken,WORD,cool,Kaffee,Make up,Make-up,
147172,meinungslos,Opportunist,WORD,Trittbrettfahrer,Rückgrst,Rückgrat,
27974,Planung,Ziel,WORD,Erfolg,Vo­r­aus­sicht,Vo­r­aus­sicht,
253915,Bart,WORD,NA,NA,pieksig,pieksig,
235571,Unkraut,Löwenzahn,WORD,NA,jähten,jäten,
83962,Hüfte,Körperteil,Prothese,WORD,auf die Hüfte tackern,auf die Hüfte tackern,
284999,Vizepräsident,WORD,NA,NA,Co-chef,Co-chef,
381776,nachgehen,golfen,folgen,WORD,dranbleiben,dranbleiben,
74873,Rumba,Tanzen,WORD,langsam,Cha Cha Cha,Cha Cha Cha,
130951,Lampenfieber,Nervös,WORD,Angst,Aufgeregd,aufgeregt,
25025,ökonomisch,ausgeglichen,WORD,wirtschaftlich,passed,passed,
12397,Alltag,morgen,schule,WORD,abeit,Arbeit,
383214,Emotion,WORD,macht uns Memschen aus,manchmal gefährlich,lebensbestimmend,lebensbestimmend,
9933,London,Großbritanien,Hauptstadt,WORD,London Eye,London Eye,
46868,schnell,rennen,WORD,Hase,tunrschuhe,Turnschuhe,
37728,Motivation,antrieb,WORD,Stimmung,psycho-coach,Psycho-coach,
293797,schwingen,WORD,Dschungel,Seil,Samuel Giger,Samuel Giger,
313456,Nachfolger,nächster,folgen,WORD,rehenfolge,Reihenfolge,
237825,Spontan,WORD,NA,NA,gibts nicht,gibt's nicht ,
195704,Tür,WORD,durchgehen,NA,"auf, Tür zu","Tür auf, Tür zu",
138206,Fußgänger,Ampel,Zebrastreifen,WORD,auti,Auto,
102143,Canapé,Sofa,WORD,Sitzecke,Cauch,Couch,
395015,Umwandlung,WORD,Strom,Metamorphose,terraformen,terraformen,
82305,Rechthaberei,Rechtsstreit,WORD,Richter,Rechthaben,Recht haben ,
341336,unauffällig,mausgrau,dezent,WORD,Under Cover,undercover,
316273,Hitler,Nazi,WORD,Weltkrieg,Deutschlang,Deutschland ,
50383,Theologie,Glaube,Gott,WORD,Hinterweltler,Hinterwäldler,
183159,Los,weiter,WORD,jetzt,auf geht's,auf geht's,
114749,Strumpfhose,Leggings,den,WORD,blickdicht,blickdicht,
79580,weiterkommen,WORD,zielstrebig,rollen,srebsam,strebsam ,
396746,Experte,WORD,Profi,NA,Professional,professional,
259179,altmodisch,WORD,anachronistisch,Out,albacken,altbacken ,
138175,Postmann,Brief,WORD,Packet,dhl,DHL ,
174683,Grammatik,WORD,regeln,Sprache,grammatik-nazi,Grammatik-Nazi,
311463,Model,WORD,dünn,NA,Heidi Klum,Heidi Klum,
200822,aufhören,Stop,WORD,Halas,arrete,arrête,
303198,Badezimmer,Badewanne,Toilette,WORD,Kachelboden,Kachelboden ,
168162,Hippie,70er-Jahre,Blumen,WORD,flippig,flippig,
44713,staatlich,übergeordnet,WORD,unpersönlich,alltagsfern,alltagsfern,
120451,dick,dünn,WORD,Birne,Spangel langer Hansel nudeldicke Dern,"Spannenlanger Hansel, nudeldicke Dirn'",
139651,Altblockflöte,Musik,Gauß,WORD,gar-klein-Flötlein,Garkleinflötlein,
281430,igitt,Pfui,WORD,ihhhh,bäh,bäh,
132280,Hocker,Sessel,WORD,Stuhl,sitzer,Sitzer,
244407,malen,zeichnen,WORD,Kunst,Portait,Portrait,
193908,Mittelalter,Geschichte,Kunst,WORD,Spirizualität,Spiritualität,
180179,Horror,Horrorfilm,Krieg in Syrien,WORD,Abltraum,Albtraum,
384488,kariert,Papier,WORD,Stoffe,Marhematik,Mathematik,
161493,Kopfkino,Thriller,WORD,automatisch,Sesselkraller,Sesselkraller,
223901,Lexikon,Information,WORD,Hilfsmittel,Nachschlagwerk,Nachschlagwerk,
258380,Menschen,WORD,NA,NA,individuu,Individuum,
315890,nachgeben,lockern,WORD,zustimmen,entkräftigen,entkräftigen,
293793,Meeting,treffen,WORD,NA,profesionell,professionell,
